series,family,constraint_count,strict_pass_percent,semantic_pass_percent,n
family,granite,1,75.0,89.58333333333334,48
family,granite,2,35.41666666666667,50.0,48
family,granite,3,6.25,27.083333333333332,48
family,granite,4,6.25,25.0,48
family,llama3.1,1,56.25,64.58333333333334,48
family,llama3.1,2,45.83333333333333,52.083333333333336,48
family,llama3.1,3,18.75,27.083333333333332,48
family,llama3.1,4,14.583333333333334,22.916666666666664,48
family,mistral,1,20.833333333333336,41.66666666666667,48
family,mistral,2,4.166666666666666,29.166666666666668,48
family,mistral,3,10.416666666666668,29.166666666666668,48
family,mistral,4,6.25,20.833333333333336,48
family,qwen2.5-coder,1,50.0,72.91666666666666,48
family,qwen2.5-coder,2,41.66666666666667,60.416666666666664,48
family,qwen2.5-coder,3,4.166666666666666,31.25,48
family,qwen2.5-coder,4,6.25,27.083333333333332,48
family,qwen3,1,62.5,70.83333333333334,48
family,qwen3,2,31.25,52.083333333333336,48
family,qwen3,3,18.75,39.58333333333333,48
family,qwen3,4,14.583333333333334,18.75,48
