family,quantization,strict_pass_percent,semantic_pass_percent,format_tax_points,ci_95_low,ci_95_high,peak_memory_gib,decode_tokens_per_second,n
llama3.1,Q3,40.27777777777778,41.388888888888886,1.1111111111111112,35.33981901166906,45.42103209449998,5.9568634033203125,24.29218682233315,360
llama3.1,Q4,41.388888888888886,43.333333333333336,1.9444444444444444,36.41813431356028,46.54147666618944,6.804229736328125,34.34215275918025,360
llama3.1,Q6,43.05555555555556,44.72222222222222,1.6666666666666667,38.040520801630194,48.21722998849055,8.2847900390625,26.81060700053435,360
llama3.1,Q8,43.611111111111114,44.72222222222222,1.1111111111111112,38.582612599292446,48.774518127618634,9.95892333984375,23.258723592924827,360
qwen3,Q3,48.888888888888886,51.66666666666667,2.7777777777777777,43.764255083571776,54.036985042847554,6.3189239501953125,23.41363793385801,360
qwen3,Q4,53.333333333333336,55.833333333333336,2.5,48.171828362303856,58.424451258438204,7.1302642822265625,33.43605215263843,360
qwen3,Q6,52.77777777777778,54.44444444444444,1.6666666666666667,47.61868027003469,57.87821941391702,8.605392456054688,26.49492245491168,360
qwen3,Q8,53.333333333333336,54.72222222222223,1.3888888888888888,48.171828362303856,58.424451258438204,10.303070068359375,22.22683912799603,360
mistral,Q3,13.88888888888889,26.666666666666668,12.777777777777777,10.696265193512932,17.84403891511493,5.38238525390625,26.218980792974335,360
mistral,Q4,13.88888888888889,28.888888888888886,15.0,10.696265193512932,17.84403891511493,6.165252685546875,38.60572566697086,360
mistral,Q6,12.777777777777777,24.72222222222222,11.944444444444445,9.71802478724994,16.623519447797243,7.5791473388671875,29.738313085818408,360
mistral,Q8,13.61111111111111,26.111111111111114,12.5,10.450975723748163,17.539638416484525,9.181365966796875,25.29011178150074,360
granite,Q3,41.94444444444444,43.333333333333336,1.3888888888888888,36.95827837262302,47.10071254391705,6.336090087890625,21.677538710436256,360
granite,Q4,40.27777777777778,42.77777777777778,2.5,35.33981901166906,45.42103209449998,7.2085113525390625,31.59260319975915,360
granite,Q6,41.11111111111111,44.166666666666664,3.0555555555555554,36.14830814566615,46.2616128656884,8.78515625,24.43129888347914,360
granite,Q8,41.11111111111111,44.44444444444444,3.3333333333333335,36.14830814566615,46.2616128656884,10.533416748046875,20.513621261317507,360
qwen2.5-coder,Q3,50.83333333333333,53.333333333333336,2.5,45.68762073788301,55.961449167302476,4.7350921630859375,28.397699676435032,360
qwen2.5-coder,Q4,49.72222222222222,53.333333333333336,3.6111111111111107,44.587613175765625,54.8626968558392,5.486846923828125,39.64439799762146,360
qwen2.5-coder,Q6,51.66666666666667,55.27777777777778,3.6111111111111107,46.51427449232373,56.78386531804731,6.9176483154296875,31.58268556567753,360
qwen2.5-coder,Q8,51.388888888888886,54.72222222222223,3.3333333333333335,46.238566187037264,56.509883654938584,8.604095458984375,28.239871848127017,360
